Buffer Pool Size,Bucket Number,Thread Count,Insert Time without PS,Insert Time with PS,Get Time without PS,Get Time with PS,Avg Chain Len,Err Insert Time without PS,Err Insert Time with PS,Err Get Time without PS,Err Get Time with PS
20000,1000,1,931.5678889999999,774.4929999999999,1219.6646943333335,1047.9663333333333,6.01,9.21906162774398,21.841657001225347,10.973851399351032,18.83334718561953
20000,1000,2,732.3956946666667,533.3862363333334,806.6268746666666,694.672375,6.01,34.078191037740176,21.627827317533303,38.04036908954527,64.80506552437232
20000,1000,3,610.7736946666668,463.25212533333337,727.9286943333333,511.9980556666667,6.01,12.30632373851783,32.6246609960226,55.91625799856188,29.070509459072955
20000,1000,4,878.0814586666667,471.7984306666667,804.1079719999999,498.4203473333334,6.01,16.034367249894245,36.88721045932946,10.902612366266114,9.198225585198868
20000,1000,5,969.3384169999999,481.3102496666667,831.6905970000001,453.22088866666667,6.01,62.68533224524765,28.402253878227963,18.862532730331026,3.6970024684262275
20000,1000,6,921.2699166666666,529.1527636666666,843.9522913333334,429.63641666666666,6.01,38.00711341374319,61.46041386519488,13.94054583855431,7.231456326264225
20000,1000,7,1159.2485833333333,734.5762916666666,949.615139,439.02397199999996,6.01,117.27047557732251,55.36910145467794,18.287399539491506,13.661378771027644
20000,1000,8,1231.1446386666667,655.026528,1061.5667219999998,428.41952799999996,6.01,80.52270941157967,21.15235327731869,3.468354729862665,1.4715998248736104
20000,2000,1,723.7897079999999,620.2658053333333,961.2806663333332,857.9783469999999,3.04,20.53763656855857,46.58161140494207,14.753058825002427,15.704360890249243
20000,2000,2,536.908014,404.81819399999995,640.928569,547.7564723333334,3.04,4.25475934519035,3.6945188267871445,19.753858461107907,39.04005960962446
20000,2000,3,536.6035276666667,334.194083,504.664528,431.60751366666665,3.04,136.68452408194344,11.814833210760638,9.45179147949259,33.5676561525431
20000,2000,4,584.413028,344.99036099999995,522.8319166666666,384.11543033333334,3.04,1.9475244086554286,4.387303843826949,1.673981297231711,3.253262626726719
20000,2000,5,607.588042,356.4372776666667,521.7038469999999,371.28106933333333,3.04,5.83499070645584,10.490671595412287,2.3486955888289702,12.45059647817657
20000,2000,6,629.2092083333333,399.7324443333334,548.9806666666667,338.75874999999996,3.04,71.2540522175757,33.610706315806326,12.561578226267924,16.30873480908059
20000,2000,7,788.6200973333334,492.8897363333333,587.7281389999999,357.38997199999994,3.04,48.88003234752279,40.15725526736792,0.7955869922947657,26.844692629909336
20000,2000,8,695.362375,496.88440266666674,645.5892503333334,341.8122363333334,3.04,5.6620968824966,35.100083722453085,4.855926859802398,15.515405191120001
20000,3000,1,664.9286806666668,583.5991806666667,898.5456803333333,826.1274030000001,2.07,18.365116028972267,18.163044397499288,13.878475913366092,14.600168624374207
20000,3000,2,470.2339583333334,349.5200556666666,554.3518613333333,506.7315693333333,2.07,7.102704547856984,7.922585991689617,3.8969289189543566,22.32669231807595
20000,3000,3,398.2210696666666,300.3340276666667,463.83391666666665,390.4674166666667,2.07,23.168881494608367,10.680445505201,8.048545405671014,12.230280148988069
20000,3000,4,509.1550833333333,321.10327766666666,454.21273599999995,387.8896526666667,2.07,64.41504895252007,7.464638924660018,6.037457403784531,25.657351716520452
20000,3000,5,485.48022199999997,317.5981106666666,431.32026399999995,328.941861,2.07,10.528238632442765,6.293840390396794,4.584658595483645,9.053116659295224
20000,3000,6,496.9785,389.11690266666665,438.92130566666674,295.21037466666667,2.07,26.95977572516929,48.82339438720914,7.810334297830298,2.3475235099954896
20000,3000,7,577.1296943333333,360.19472199999996,475.9405003333333,293.0738333333333,2.07,41.46436610620272,50.605067391577094,2.774966954244368,5.031894977391762
20000,3000,8,574.137042,366.63299966666665,514.2153053333333,294.390653,2.07,18.48167392851208,51.786596697628575,7.7201039355406085,4.006045324420157
